หน้า (PAGE),รหัสสินค้า (PART NUMBER),รหัสเดิม (OLD NO.),ยี่ห้อ/OEM,เลขอ้างอิง (CROSS REFERENCE),รุ่นรถ/หมายเหตุ (APPLICATION)
6,ST10603,JX603,HINO,J190058,
6,ST10604,JX604,HYUNDAI,26300-42030,
6,ST10604,JX604,DONALDSON,P551343,
6,ST10605,JX605,HYUNDAI,26300-35500,
6,ST10605,JX605,DONALDSON,P550162,
6,ST10607,JX607,HYUNDAL,26300-35501  26300-02500,
6,ST10607,JX607,FLEETGUARD,LF3403,
6,ST10607,JX607,DONALDSON,P550162,
6,ST10608,JX608,MAZDA,JE15-14-302  OK551-14-302    KF0-00202,
6,ST10608,JX608,DONALDSON,P502007,
6,ST10609,JX609,HYUNDAI,26300-ZY500,
6,ST10610,JX610,HYUNDAI,26311-45001,
7,ST10611,JX611,HYUNDAI,31945-41020,
7,ST10612,JX612,HYUNDAI,31945-41011,
7,ST10613,JX613,,ZP531,
7,ST10613,JX613,DONALDSON,P554004,
7,ST10617,JX617,HYUNDAI,YM1199000-35351 YM171056-35110 P555522 LF3361 YM129150-35152,
7,ST10678,JX678,FLEETGUARD,LF678,
7,ST10678,JX678,DONALDSON,P550020,
7,ST10711,JX711,KOMATSU,600-211-5241,
7,ST10711,JX711,FLEETGUARD,LF760,
7,ST10711,JX711,DONALDSON,P552819,
7,ST10712,JX712,KOMATSU,6136-51-5121,
7,ST10712,JX712,FLEETGUARD,LF3664,
7,ST10712,JX712,DONALDSON,P550086,
7,ST10713,JX713,KOMATSU,6134-51-5120,
7,ST10713,JX713,FLEETGUARD,LF3405  KL120 K-FLO,
7,ST10713,JX713,DONALDSON,P550708,
7,ST10714,JX714,,ME088532,
7,ST10714,JX714,FLEETGUARD,LF3817,
7,ST10714,JX714,DONALDSON,P502008,
7,ST10715,JX715,CATERPILLAR,5I-7950,
7,ST10715,JX715,FLEETGUARD,LF17335,
7,ST10715,JX715,DONALDSON,P502093,
